date,rating
2024-01-01,1
2024-01-02,3
2024-01-03,4
2024-01-04,2
2024-01-05,1
2024-01-06,4
2024-01-08,4
2024-01-09,3
2024-01-10,5
2024-01-12,4
2024-01-13,3
2024-01-14,3
2024-01-17,4
2024-01-18,4
2024-01-19,5
2024-01-20,4
2024-01-21,4
2024-01-22,4
2024-01-23,1
2024-01-24,3
2024-01-26,2
2024-01-27,4
2024-01-28,3
2024-01-29,3
2024-01-30,4
2024-01-31,3
2024-02-01,3
2024-02-02,5
2024-02-03,4
2024-02-04,5
2024-02-05,3
2024-02-07,3
2024-02-08,5
2024-02-09,3
2024-02-10,3
2024-02-11,4
2024-02-12,3
2024-02-13,3
2024-02-14,5
2024-02-15,3
2024-02-16,4
2024-02-20,5
2024-02-21,2
2024-02-22,5
2024-02-23,5
2024-02-24,1
2024-02-25,4
2024-02-26,3
2024-02-27,2
2024-02-28,4
2024-02-29,5
2024-03-01,4
2024-03-02,5
2024-03-03,3
2024-03-04,4
2024-03-05,5
2024-03-06,5
2024-03-07,1
2024-03-08,1
2024-03-09,5
2024-03-10,3
2024-03-12,5
2024-03-14,2
2024-03-15,5
2024-03-17,4
2024-03-18,5
2024-03-19,3
2024-03-20,4
2024-03-21,3
2024-03-22,4
2024-03-23,4
2024-03-25,3
2024-03-26,3
2024-03-27,2
2024-03-28,3
2024-03-29,5
2024-03-31,4
2024-04-01,2
2024-04-02,4
2024-04-03,5
2024-04-04,3
2024-04-06,4
2024-04-07,4
2024-04-08,5
2024-04-10,3
2024-04-11,3
2024-04-12,4
2024-04-13,3
2024-04-14,5
2024-04-15,5
2024-04-16,2
2024-04-17,5
2024-04-18,5
2024-04-19,3
2024-04-20,3
2024-04-21,2
2024-04-22,5
2024-04-23,5
2024-04-24,4
2024-04-25,5
2024-04-26,4
2024-04-27,3
2024-04-28,4
2024-04-29,4
